期別,開獎日,銷售金額,獎金總額,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號,頭獎注數,頭獎獎金,頭獎累至次期獎金,貳獎注數,參獎注數,肆獎注數,伍獎注數,陸獎注數,柒獎注數,普獎注數,貳獎獎金,參獎獎金,肆獎獎金,伍獎獎金,陸獎獎金,柒獎獎金,普獎獎金,貳獎累至次期獎金,參獎累至次期獎金,肆獎累至次期獎金
104000007,104/01/23,"113,354,400","147,861,942",20,16,39,42,38,8,29,0,0,"102,869,203",0,38,124,"2,274","2,848","28,301","38,773",0,"51,579","10,537","1,580","1,000",400,400,"8,455,001",0,0
104000006,104/01/20,"112,155,650","120,113,208",47,35,28,45,9,24,48,0,0,"79,022,060",0,31,79,"2,046","2,442","26,104","36,279",0,"66,368","17,362","1,843","1,000",400,400,"6,494,962",0,0
104000005,104/01/16,"114,578,150","93,243,863",2,46,17,32,38,28,49,0,0,"53,990,063",0,37,97,"2,059","2,412","24,969","37,300",0,"57,889","14,720","1,907","1,000",400,400,"4,437,538",0,0
104000004,104/01/13,"118,302,200","65,066,210",46,14,22,37,2,16,49,0,0,"27,930,245",0,30,87,"2,047","2,412","24,141","36,843",0,"76,521","17,591","2,056","1,000",400,400,"2,295,636",0,0
104000003,104/01/09,"236,369,500","408,289,487",18,7,24,21,23,8,11,1,"323,240,264",0,2,132,320,"4,997","7,238","68,033","84,928","1,847,424","27,991","7,697","1,355","1,000",400,400,0,0,0
104000002,104/01/06,"189,137,700","339,303,949",16,37,43,11,30,29,13,0,0,"278,286,262",1,53,165,"3,260","3,991","42,975","59,824","3,534,908","66,696","14,282","1,987","1,000",400,400,0,0,0
104000001,104/01/02,"155,706,550","289,411,837",31,23,48,29,22,13,6,0,0,"235,278,214",1,38,115,"2,525","4,179","38,884","47,564","5,530,538","74,021","16,306","2,042","1,000",400,400,0,0,0
104000022,104/02/27,"169,047,550","254,581,758",2,6,43,38,27,34,45,0,0,"198,854,550",0,60,147,"3,211","4,065","39,246","55,467",0,"51,025","13,884","1,748","1,000",400,400,"3,061,557",0,0
104000021,104/02/24,"279,119,350","253,515,642",46,39,28,3,48,41,9,0,0,"161,605,606",2,97,255,"4,698","6,698","70,527","85,539","2,531,737","52,200","13,237","1,975","1,000",400,400,0,0,0
104000020,104/02/23,"239,724,800","179,929,259",21,20,43,38,32,14,23,1,"100,000,000",0,2,78,193,"4,053","6,175","62,193","74,185","2,133,673","54,709","14,740","1,930","1,000",400,400,0,0,0
